file,findings.name_graham.count,findings.name_graham.samples,findings.serial.count,findings.serial.samples
GitHub/Grahams_Tactical_Loadout_Tree_v1_FIXED.pdf,1.0,['******'],,
GitHub/HP_EliteBook_845_G7_GUI_Debloat_v2.md,,,1.0,['Sni…ing']
GitHub/HP_EliteBook_845_G7_GUI_Debloat_v4.md,,,1.0,['Sni…ing']
GitHub/Installation Checklist Kubuntu KDE.txt,,,1.0,['sna…hot']
GitHub/KDE Plasma ChatGPT.txt,,,3.0,"['sna…ots', 'sna…hot', 'sna…ier']"
GitHub/KDE_Distro_Guide.pdf,,,1.0,['sna…hot']
GitHub/Kubuntu_LTS_Checklist.pdf,,,1.0,['SNA…HOT']
GitHub/minimal_mac_setup_kb.txt,,,1.0,['sna…ing']
GitHub/MX_Linux_Razer_Blade_Stealth_Guide.docx,,,1.0,['sna…hot']
GitHub/Windows11_Debloat_Checklist.docx,,,1.0,['sna…hot']
GitHub/Windows11_Debloat_Checklist.md,,,1.0,['sna…hot']
GitHub/Windows11_Debloat_Checklist.txt,,,1.0,['sna…hot']
GitHub/Windows11_GUI_Debloat_Full_Guide_v1.0.md,,,1.0,['Sni…ing']
GitHub/✅ Samsung Galaxy S24 FE — Debloat Operation Report.docx,1.0,['******'],,
