source,output,note
GitHub/AAA next Linux project.docx,misc/AAA next Linux project.md,sanitized .md
GitHub/Acer_Nitro_V15_GUI_Debloat_Guide.pdf,windows/acer-nitro-v15/Acer_Nitro_V15_GUI_Debloat_Guide.md,sanitized .md
GitHub/AI___Monk_Deployment_Tracker.csv,misc/artifacts/AI___Monk_Deployment_Tracker.csv,copied (binary/unparsed)
GitHub/Constitutional_Law_Private_Study_Blueprint.docx,misc/Constitutional_Law_Private_Study_Blueprint.md,sanitized .md
GitHub/degoogle_complete_guide.md,misc/degoogle_complete_guide.md,sanitized .md
GitHub/degoogle_complete_guide.txt,misc/degoogle_complete_guide.md,sanitized .md
GitHub/degoogle_prerequisites.md,misc/degoogle_prerequisites.md,sanitized .md
GitHub/degoogle_prerequisites.txt,misc/degoogle_prerequisites.md,sanitized .md
GitHub/degoogle_tablet_checklist.md,misc/degoogle_tablet_checklist.md,sanitized .md
GitHub/degoogle_tablet_checklist.txt,misc/degoogle_tablet_checklist.md,sanitized .md
GitHub/device_fleet_july2025.txt,misc/device_fleet_july2025.md,sanitized .md
GitHub/Grahams_Tactical_Loadout_Tree_v1_FIXED.pdf,misc/Grahams_Tactical_Loadout_Tree_v1_FIXED.md,sanitized .md
GitHub/HP_EliteBook_845G7_GUI_Debloat_Guide.pdf,windows/hp-elitebook-845g7/HP_EliteBook_845G7_GUI_Debloat_Guide.md,sanitized .md
GitHub/HP_EliteBook_845_G7_GUI_Debloat_Guide.md,windows/hp-elitebook-845g7/HP_EliteBook_845_G7_GUI_Debloat_Guide.md,sanitized .md
GitHub/HP_EliteBook_845_G7_GUI_Debloat_v2.md,windows/hp-elitebook-845g7/HP_EliteBook_845_G7_GUI_Debloat_v2.md,sanitized .md
GitHub/HP_EliteBook_845_G7_GUI_Debloat_v4.md,windows/hp-elitebook-845g7/HP_EliteBook_845_G7_GUI_Debloat_v4.md,sanitized .md
GitHub/Human_Firewall_Checklist.docx,misc/Human_Firewall_Checklist.md,sanitized .md
GitHub/Installation Checklist Kubuntu KDE.txt,misc/Installation Checklist Kubuntu KDE.md,sanitized .md
GitHub/Iphone Minimal Battery Kb.pdf,ios/iphone-minimal-setup/Iphone Minimal Battery Kb.md,sanitized .md
GitHub/iphone_minimal_battery_kb.md,ios/iphone-minimal-setup/iphone_minimal_battery_kb.md,sanitized .md
GitHub/KDE Plasma ChatGPT.txt,misc/KDE Plasma ChatGPT.md,sanitized .md
GitHub/KDE_Distro_Guide.pdf,misc/KDE_Distro_Guide.md,sanitized .md
GitHub/Kubuntu_LTS_Checklist.pdf,misc/Kubuntu_LTS_Checklist.md,sanitized .md
GitHub/macbook_air_minimal_setup_checklist.pdf,misc/macbook_air_minimal_setup_checklist.md,sanitized .md
GitHub/minimal_mac_setup_kb.txt,misc/minimal_mac_setup_kb.md,sanitized .md
GitHub/MX_Linux_Razer_Blade_Stealth_Guide.docx,misc/MX_Linux_Razer_Blade_Stealth_Guide.md,sanitized .md
GitHub/One Click Samsung Debloat.bat,android/galaxy-s24-fe/artifacts/One Click Samsung Debloat.bat,copied (binary/unparsed)
GitHub/OnePlus9_Setup_Guide_v1.1.txt,misc/OnePlus9_Setup_Guide_v1.1.md,sanitized .md
GitHub/Recovery_Builders_Code_Digital_Noise_Edition.docx,misc/Recovery_Builders_Code_Digital_Noise_Edition.md,sanitized .md
GitHub/Remove Samsung Bloat One Command.txt,android/galaxy-s24-fe/Remove Samsung Bloat One Command.md,sanitized .md
GitHub/S24FEuad_exported_selection.txt,android/galaxy-s24-fe/S24FEuad_exported_selection.md,sanitized .md
GitHub/S24FE_Deployment_Blueprint.docx,android/galaxy-s24-fe/S24FE_Deployment_Blueprint.md,sanitized .md
GitHub/samsung_adb_debloat_guide.txt,android/galaxy-s24-fe/samsung_adb_debloat_guide.md,sanitized .md
GitHub/Samsung_One_Click_Debloat_Guide.txt,android/galaxy-s24-fe/Samsung_One_Click_Debloat_Guide.md,sanitized .md
GitHub/Tech Loadouts.txt,misc/Tech Loadouts.md,sanitized .md
GitHub/The_Pendulum_Doesnt_Care.docx,misc/The_Pendulum_Doesnt_Care.md,sanitized .md
GitHub/uad_exported_selection - Copy.txt,misc/uad_exported_selection - Copy.md,sanitized .md
GitHub/uad_exported_selection.txt,misc/uad_exported_selection.md,sanitized .md
GitHub/uad_exported_selectionOLD.txt,misc/uad_exported_selectionOLD.md,sanitized .md
GitHub/Windows11_Debloat_Checklist.docx,misc/Windows11_Debloat_Checklist.md,sanitized .md
GitHub/Windows11_Debloat_Checklist.md,misc/Windows11_Debloat_Checklist.md,sanitized .md
GitHub/Windows11_Debloat_Checklist.txt,misc/Windows11_Debloat_Checklist.md,sanitized .md
GitHub/Windows11_GUI_Debloat_Full_Guide_v1.0.md,misc/Windows11_GUI_Debloat_Full_Guide_v1.0.md,sanitized .md
GitHub/✅ Samsung Galaxy S24 FE — Debloat Operation Report.docx,android/galaxy-s24-fe/✅ Samsung Galaxy S24 FE — Debloat Operation Report.md,sanitized .md
